ID,Name,Gender,Age,Occupation,income,District,Latitude,Longtitude,Health Care Capacity,Health Status
34690719556,Matilde,1,38,48,16088.59925,8,41.3851399168 ,2.1743865425 ,1,1
34624446247,Jena,0,49,18,30405.92169,8,41.3851427142 ,2.1743753689 ,3,2
34619666319,Merle,1,38,7,14426.67958,1,41.3851432924 ,2.1743607327 ,4,4
34615728333,Prudence,0,56,8,36541.6799,4,41.3851422599 ,2.1743780667 ,3,1
34649749181,Raina,1,39,22,17950.22122,10,41.3851424051 ,2.1743793070 ,4,2
34656032706,Illa,1,34,32,25313.02421,10,41.3851421908 ,2.1743698691 ,1,1
34635010508,Margalo,0,37,50,13609.68049,4,41.3851413796 ,2.1743720169 ,2,4
34667229757,Claudelle,1,45,16,34522.57893,3,41.3851427343 ,2.1743790845 ,2,1
34660523241,Nettle,1,54,30,27278.81742,6,41.3851418018 ,2.1743603101 ,4,3
34601413428,Jodee,1,49,20,41031.71882,6,41.3851427754 ,2.1743809562 ,1,1
34641947866,Amelina,0,43,7,85498,1,41.3851432333 ,2.1743885952 ,2,2
34659838217,Patricia,1,39,32,24076.75943,8,41.3851422808 ,2.1744095127 ,3,2
34613779758,Angy,0,43,12,36909.47956,2,41.3851431190 ,2.1743717351 ,4,3
34649803772,Elane,0,31,36,22575.97948,10,41.3851421595 ,2.1743785357 ,1,1
34674503836,Nonnah,0,39,35,40990.40502,2,41.3851421667 ,2.1743794454 ,3,1
34635652936,Philomena,0,56,46,31083.04049,9,41.3851439296 ,2.1743786547 ,2,2
34681136507,Bethanne,1,44,22,20022.81185,3,41.3851418699 ,2.1743836023 ,1,3
34600986737,Maighdiln,0,52,39,26367.81069,1,41.3851418570 ,2.1743913443 ,2,4
34683624339,Aindrea,1,74,14,31724.70037,10,41.3851415836 ,2.1743827774 ,3,3
34606232268,Darcee,1,29,21,17908.52089,2,41.3851426508 ,2.1743735284 ,3,3
34658185368,Roslyn,1,40,30,24012.37857,10,41.3851406293 ,2.1743696289 ,3,2
34669307507,Selina,1,58,4,29061.74536,10,41.3851426199 ,2.1743809390 ,1,4
34604926435,Devonna,1,30,21,41688.05567,9,41.3851417833 ,2.1743794287 ,2,1
34625001116,Kata,1,50,42,28645.37869,10,41.3851425923 ,2.1743726205 ,1,1
34684171834,Loralyn,1,52,2,26443.67391,8,41.3851415150 ,2.1743656894 ,3,1
34679442253,Otha,0,55,22,18271.59117,10,41.3851421497 ,2.1743857921 ,3,4
34699177088,Morganica,0,54,45,24037.1623,3,41.3851425650 ,2.1743877799 ,2,4
34669987049,Luciana,0,37,43,24292.70758,3,41.3851431764 ,2.1743689951 ,3,2
34653446696,Lanae,0,51,9,33311.60947,2,41.3851426733 ,2.1743599410 ,3,2
34645029744,Wilow,1,65,23,17207.8689,4,41.3851418246 ,2.1743728573 ,2,4
34677430625,Jana,0,34,42,24797.71588,9,41.3851408201 ,2.1743673346 ,3,4
34679439762,Barbabra,1,24,29,44646.32361,2,41.3851416324 ,2.1743955157 ,2,3
34626456837,Ursola,1,41,35,42774.03782,1,41.3851429146 ,2.1743729170 ,4,2
34666385276,Aubry,1,43,7,47135.15586,6,41.3851419065 ,2.1743669124 ,4,4
34635822580,Jorrie,0,35,17,32017.19387,2,41.3851404874 ,2.1743722057 ,2,2
34677430457,Eolanda,1,31,16,22603.3439,4,41.3851409392 ,2.1743751295 ,4,3
34689328818,Vicky,0,63,42,29279.86493,3,41.3851436663 ,2.1743796173 ,1,2
34619689743,Carrie,1,44,43,20886.82045,10,41.3851439653 ,2.1743908367 ,3,3
34609774746,Almeda,0,20,43,22785.11779,6,41.3851409036 ,2.1743911434 ,2,2
34653969481,Elna,1,31,14,57962.23554,8,41.3851420059 ,2.1743815520 ,3,1
34627536450,Nataline,0,38,42,25985.47048,1,41.3851429284 ,2.1743835471 ,2,1
34622680092,Rosina,0,40,33,34742.60843,3,41.3851420391 ,2.1743689355 ,4,2
34654139567,Daile,1,29,20,47931.60037,2,41.3851408255 ,2.1743746977 ,4,3
34626765839,Zulema,1,67,36,31048.50243,9,41.3851429666 ,2.1743827359 ,3,3
34618863479,Constantia,1,45,37,24983.66207,6,41.3851405110 ,2.1743708450 ,3,3
34640750058,Rhiamon,1,56,29,3367.451381,6,41.3851430915 ,2.1743762519 ,2,1
34650910011,Doralyn,0,46,7,4098.321324,7,41.3851421789 ,2.1743660933 ,1,2
34646986002,Rora,1,57,12,33699.11105,3,41.3851414864 ,2.1743707377 ,4,2
34698643522,Donica,0,46,34,7555.401635,8,41.3851417864 ,2.1743780564 ,3,1
34600753726,Joelynn,1,35,43,29211.20945,5,41.3851435497 ,2.1743810619 ,3,1
34622097343,Rose,1,40,26,45522.98556,4,41.3851421137 ,2.1743696656 ,4,2
34613911264,Maurise,0,53,43,34752.24908,9,41.3851421251 ,2.1743677664 ,4,4
34641085341,Ludovika,1,37,13,31459.81004,9,41.3851411541 ,2.1743657472 ,2,3
34654441070,Irma,1,49,27,34673.37315,2,41.3851424235 ,2.1743844368 ,1,1
34667092921,Ede,1,46,48,34325.37774,3,41.3851406494 ,2.1743666044 ,4,2
34611933612,Vivienne,0,64,25,41873.31974,10,41.3851414590 ,2.1743754661 ,2,1
34652521365,Benita,0,24,35,26050.15829,1,41.3851418353 ,2.1743759739 ,1,4
34663280116,Christina,1,28,20,30748.03949,5,41.3851423706 ,2.1743811691 ,4,4
34677716900,Patti,1,39,13,44324.95366,2,41.3851442784 ,2.1743562309 ,4,2
34679695320,Ally,0,19,27,25780.74323,6,41.3851433365 ,2.1743726601 ,3,1
34697191291,Charlotta,0,28,11,23599.79767,5,41.3851422066 ,2.1743854602 ,2,1
34694087005,Denice,0,30,17,17725.8034,8,41.3851421099 ,2.1743978624 ,2,4
34602769303,Hertha,1,48,22,33871.47167,5,41.3851417301 ,2.1743764566 ,3,2
34689698560,Riki,0,40,39,18141.28332,5,41.3851413810 ,2.1743925269 ,3,2
34630674766,Fleur,1,32,14,26936.41541,7,41.3851413159 ,2.1743530862 ,4,3
34684235983,Emalee,1,31,42,38339.2507,9,41.3851436762 ,2.1743527153 ,4,3
34665502055,Chloris,1,45,13,43050.66063,7,41.3851420620 ,2.1743739879 ,4,4
34673960690,Vin,1,63,19,18704.69255,7,41.3851419039 ,2.1743759662 ,1,3
34640247846,Arielle,0,43,10,37274.41431,3,41.3851411198 ,2.1743595471 ,1,2
34618991267,Maye,1,38,47,27677.07379,6,41.3851445994 ,2.1743707656 ,1,3
34687075261,Sybila,0,41,38,33722.59875,4,41.3851430822 ,2.1743813442 ,4,4
34699232096,Leoine,0,51,40,36326.72083,3,41.3851405411 ,2.1743750139 ,2,2
34635183317,Catharina,1,44,26,34958.13594,7,41.3851411883 ,2.1743781664 ,4,3
34659983037,Ida,0,34,10,28384.09223,3,41.3851426252 ,2.1743881689 ,4,3
34690514478,Shani,0,58,45,22056.95359,3,41.3851412209 ,2.1743760192 ,1,4
34639591617,Rosemaria,1,40,10,28961.72368,6,41.3851453347 ,2.1743785915 ,2,2
34609200453,Karna,1,50,20,40514.51192,3,41.3851441401 ,2.1743809175 ,4,2
34636391922,Hermine,1,33,17,39297.92633,2,41.3851422125 ,2.1743721070 ,2,2
34695913114,Jemima,1,34,4,25955.04789,8,41.3851415362 ,2.1743758627 ,2,1
34610055089,Clarice,1,45,48,20232.57543,5,41.3851409773 ,2.1743708172 ,4,2
34693816713,Leticia,0,36,31,29025.57021,7,41.3851420974 ,2.1743864632 ,1,1
34618916590,Mallory,0,37,14,38715.50866,4,41.3851422837 ,2.1743601592 ,3,1
34677886957,Nancy,0,38,32,22972.98529,9,41.3851442632 ,2.1743650146 ,2,4
34624053779,Rodina,0,40,3,11966.31451,1,41.3851414213 ,2.1743662376 ,3,1
34633618229,Illa,1,49,13,35833.63828,1,41.3851427440 ,2.1743851529 ,3,2
34678817475,Orella,1,55,11,33840.50337,9,41.3851413221 ,2.1743549643 ,3,3
34671566606,Minetta,0,54,50,23269.49193,6,41.3851407221 ,2.1743891734 ,2,1
34676136570,Hilary,1,34,49,37437.57766,7,41.3851415344 ,2.1743625149 ,2,3
34628376654,Avis,0,24,19,14076.97887,8,41.3851431150 ,2.1743680199 ,2,2
34689348358,Imogen,0,34,4,27430.55525,5,41.3851423552 ,2.1743872802 ,2,4
34698632972,Keely,0,35,12,36667.44028,2,41.3851435451 ,2.1743869732 ,4,4
34666391456,Marysa,1,53,36,48342.69198,5,41.3851421168 ,2.1743849328 ,3,2
34671108660,Laurene,0,36,10,17923.70945,2,41.3851423627 ,2.1743751731 ,3,2
34632059216,Nessi,0,54,21,17441.83642,9,41.3851407328 ,2.1744007495 ,4,3
34669688660,Kiah,0,36,25,18627.04444,8,41.3851419442 ,2.1743660280 ,3,4
34648636018,Etheline,0,47,6,21384.60964,3,41.3851420981 ,2.1743597888 ,4,3
34687653956,Ileane,0,34,40,11199.20121,4,41.3851426260 ,2.1743699282 ,4,4
34612279487,Rita,1,56,15,15001.25286,3,41.3851402519 ,2.1743805968 ,3,3
34605338863,Corrianne,1,29,46,34947.38116,4,41.3851429454 ,2.1743746472 ,4,4
34600621600,Maxy,1,53,11,26143.54066,3,41.3851416809 ,2.1743874929 ,4,2
34689079418,Aleta,1,18,44,19335.90461,8,41.3851412291 ,2.1743870928 ,2,4
34679354119,Yolande,0,66,49,26631.41636,5,41.3851412506 ,2.1743781432 ,4,4
34624030067,Carree,0,27,20,26316.66298,8,41.3851402274 ,2.1743811810 ,3,1
34631133245,Berget,1,44,47,48005.45134,3,41.3851432163 ,2.1743745774 ,4,3
34619726088,Sascha,1,58,14,38893.4513,4,41.3851423738 ,2.1743761213 ,2,4
34602955953,Chelsey,0,45,46,24597.71799,4,41.3851412683 ,2.1743726640 ,2,3
34697314508,Charlotta,0,45,12,30022.85389,3,41.3851430059 ,2.1743733551 ,2,4
34695850897,Catherina,1,44,36,14869.28518,6,41.3851414250 ,2.1743806286 ,4,1
34627155250,Idell,1,49,22,33479.34303,2,41.3851423174 ,2.1743704274 ,1,1
34664675556,Cherida,1,28,1,30017.38555,2,41.3851408262 ,2.1743986988 ,2,3
34680793969,Doloritas,1,46,3,27435.14819,4,41.3851423666 ,2.1743842849 ,1,4
34652834128,Merridie,0,38,10,41221.34846,10,41.3851427183 ,2.1743793628 ,4,3
34631901031,Vinny,1,63,3,27124.63533,10,41.3851419490 ,2.1743757830 ,3,1
34681511163,Cindie,0,28,42,33396.61312,4,41.3851406381 ,2.1743793112 ,1,4
34683619484,Carmelina,0,27,32,14182.25288,5,41.3851418640 ,2.1743811482 ,1,1
34646163246,Cate,1,27,31,42146.85027,4,41.3851421708 ,2.1743883836 ,4,3
34651783843,Leigha,1,36,25,30833.28188,4,41.3851394450 ,2.1743769089 ,3,4
34662573055,Merissa,1,38,16,19771.09782,8,41.3851415973 ,2.1743650327 ,4,2
34638682202,Terri,1,41,23,33597.40681,2,41.3851431896 ,2.1743723591 ,2,3
34603814049,Brittni,1,26,45,33923.52887,4,41.3851418026 ,2.1743677887 ,3,1
34657372867,Hailee,1,48,30,29110.25554,4,41.3851420799 ,2.1743820491 ,4,4
34688034020,Ursuline,0,62,12,16980.44975,1,41.3851410127 ,2.1743702514 ,4,3
34689428742,Othelia,1,39,4,39334.44254,5,41.3851416944 ,2.1743799917 ,3,1
34652344830,Alysia,1,43,45,35963.78697,1,41.3851431252 ,2.1743736951 ,3,4
34640751418,Cloris,0,45,24,14974.69561,10,41.3851424504 ,2.1743802728 ,2,4
34692366209,Guillema,1,33,41,16844.04829,6,41.3851428220 ,2.1743655485 ,2,4
34611752157,Imojean,0,49,35,20967.08336,1,41.3851427323 ,2.1743819847 ,2,1
34638072483,Dasya,1,29,5,20208.86036,4,41.3851402303 ,2.1743730458 ,3,3
34699083349,Pru,1,56,15,24529.66505,6,41.3851416644 ,2.1743790442 ,3,3
34637193389,Charin,0,45,24,16529.72692,7,41.3851417779 ,2.1743687826 ,4,3
34647948817,Codi,1,45,22,23622.48956,8,41.3851399742 ,2.1743679023 ,1,2
34664845331,Angelika,1,21,23,4876.484991,9,41.3851408239 ,2.1743654464 ,3,1
34680331258,Henrietta,1,48,39,28964.8046,10,41.3851407695 ,2.1743973495 ,2,2
34625515857,Tate,1,41,31,27040.93908,1,41.3851430441 ,2.1743846229 ,2,4
34639556249,Marcille,1,52,36,24583.96189,1,41.3851425793 ,2.1743714391 ,4,1
34601197123,Sharline,0,40,49,21840.84628,10,41.3851419150 ,2.1743775637 ,4,3
34636014594,Diandra,1,30,7,13778.61913,3,41.3851417056 ,2.1743802173 ,2,4
34687531554,Vina,0,42,45,27516.33197,7,41.3851427519 ,2.1743756628 ,2,1
34670288140,Susie,0,41,9,38432.90592,6,41.3851436189 ,2.1743794278 ,2,1
34642686950,Blanca,0,25,21,29114.10952,10,41.3851444905 ,2.1743740696 ,2,3
34614536220,Caresse,1,44,38,21572.26113,4,41.3851422211 ,2.1743797618 ,3,4
34637658137,Cyb,1,29,44,13092.67823,8,41.3851437994 ,2.1743773669 ,1,2
34677514970,Hadria,1,48,46,43289.53942,3,41.3851425510 ,2.1743724547 ,2,2
34683743522,Cecilia,0,27,28,36198.0728,10,41.3851419679 ,2.1743680060 ,3,1
34607378288,Fannie,0,32,2,44655.60046,10,41.3851423498 ,2.1743835676 ,1,2
34626949078,Brynn,1,44,11,39630.57402,2,41.3851421988 ,2.1743726656 ,1,1
34678309477,Kessia,1,50,36,26551.13071,8,41.3851429757 ,2.1743740958 ,3,1
34609930227,Paola,0,55,35,24538.58947,7,41.3851431253 ,2.1743693719 ,3,3
34663045464,Nissy,1,55,18,47232.56275,10,41.3851416671 ,2.1743724952 ,3,4
34602946729,Fanni,0,32,23,37916.60852,6,41.3851400137 ,2.1743659517 ,1,2
34604432609,Ellette,0,46,9,31465.50575,9,41.3851411008 ,2.1743746564 ,2,3
34612946631,Latisha,1,36,25,7060.09082,7,41.3851432153 ,2.1743696933 ,2,4
34650377458,Karole,1,50,26,40087.84522,4,41.3851417625 ,2.1743772536 ,3,1
34634258148,Chelsie,1,28,2,15208.84502,6,41.3851430022 ,2.1743679153 ,1,4
34622847843,Cairistiona,0,44,27,39124.78128,10,41.3851423672 ,2.1743573498 ,2,1
34683801502,Marney,1,53,2,38632.54001,7,41.3851434334 ,2.1743619831 ,2,2
34680034088,Coriss,1,29,25,40511.14679,10,41.3851421503 ,2.1743874735 ,1,3
34630180401,Merl,1,53,12,21996.79052,5,41.3851429410 ,2.1743703482 ,3,2
34611917082,Brenn,1,26,24,27721.45713,8,41.3851416602 ,2.1743864131 ,2,1
34634067758,Carolyn,0,27,45,33805.95394,2,41.3851431876 ,2.1743743741 ,2,4
34602999593,Laurianne,0,51,30,21912.58268,5,41.3851439559 ,2.1743809913 ,3,1
34630324937,Dyan,0,31,3,32356.18528,4,41.3851425957 ,2.1743758750 ,2,1
34662988518,Cathee,1,27,50,42475.26881,10,41.3851421709 ,2.1743803599 ,1,1
34687957956,Arlena,0,43,32,15379.17065,2,41.3851417983 ,2.1743800235 ,3,1
34650056601,Yolane,0,66,37,39297.92633,6,41.3851428331 ,2.1743863363 ,4,1
34664143355,Legra,1,36,14,30495.10901,2,41.3851422319 ,2.1743580578 ,1,2
34694586614,Joell,0,35,17,37395.67269,4,41.3851421384 ,2.1743729131 ,2,2
34680415322,Ebba,0,31,15,29945.5241,2,41.3851422262 ,2.1743708904 ,2,3
34609307005,Agathe,1,70,25,30094.04459,4,41.3851396886 ,2.1743678038 ,1,3
34653231329,Feodora,1,47,46,38139.13913,5,41.3851402845 ,2.1743809264 ,1,2
34639965933,Gleda,1,48,49,28734.37274,1,41.3851425300 ,2.1743768058 ,1,2
34691758911,Ilise,1,34,45,9747.920512,7,41.3851432064 ,2.1743818318 ,2,3
34665892602,Germaine,1,33,29,48103.67677,5,41.3851428979 ,2.1743777346 ,1,3
34635332871,Umeko,1,41,45,32839.53624,5,41.3851420720 ,2.1743793936 ,3,2
34673163398,Harli,0,48,38,28950.96891,8,41.3851434580 ,2.1743729555 ,1,2
34678358509,Karyl,1,35,47,42165.72229,8,41.3851404564 ,2.1743667698 ,3,1
34615814284,Jobyna,0,35,10,39826.6156,8,41.3851430731 ,2.1743904314 ,2,3
34667171285,Charmine,1,28,50,57962.23554,9,41.3851426624 ,2.1743832441 ,2,4
34696228996,Pearline,0,55,45,35241.71639,6,41.3851428215 ,2.1743633097 ,3,2
34611676908,Kelly,1,35,8,27903.54933,8,41.3851403811 ,2.1743832420 ,3,1
34608266892,Deloria,0,46,4,36656.2535,10,41.3851423969 ,2.1743829072 ,3,1
34609671931,Gwyn,1,33,17,41364.9122,4,41.3851417339 ,2.1743749458 ,2,2
34663202297,Jorry,0,50,42,40351.05298,2,41.3851424383 ,2.1743743864 ,3,2
34656567860,Crystie,0,45,1,27858.41566,9,41.3851418744 ,2.1743811928 ,4,1
34693209662,Norry,1,39,13,26401.88263,9,41.3851423390 ,2.1743749604 ,3,4
34616599941,Rubia,1,57,16,28730.53013,9,41.3851426039 ,2.1743804201 ,4,3
34650824023,Kellie,1,35,5,29590.05947,10,41.3851417758 ,2.1743808564 ,2,1
34647496154,Sharleen,1,40,41,16835.54451,2,41.3851410774 ,2.1743873818 ,1,2
34691997839,Teddie,1,60,36,23073.15476,3,41.3851410628 ,2.1743776361 ,4,1
34626756282,Blinnie,1,25,12,24677.70805,2,41.3851408252 ,2.1743753995 ,1,2
34658854206,Bette,1,25,47,30239.09762,7,41.3851418958 ,2.1743848888 ,3,4
34696248678,Kandy,1,50,15,38904.59261,7,41.3851418287 ,2.1743663074 ,2,3
34650688425,Candi,1,26,4,41934.09673,2,41.3851418728 ,2.1743852471 ,2,1
34682155361,Loree,0,52,27,16006.28998,4,41.3851418898 ,2.1743750162 ,4,2
34618672395,Lyndel,0,52,9,29957.23385,7,41.3851420698 ,2.1743826843 ,1,2
34623588303,Kathi,1,35,38,44786.84054,4,41.3851422471 ,2.1743854396 ,3,1
34661043010,Kirby,0,50,16,17727.09943,4,41.3851424744 ,2.1743544613 ,4,4
34676802636,Susann,0,60,17,24402.06295,8,41.3851420075 ,2.1743652467 ,1,3
34692311307,Pet,0,55,8,27739.05585,7,41.3851432653 ,2.1743597101 ,3,3
34671558191,Adina,1,14,11,0,9,41.3851419833 ,2.1743866857 ,3,2
34607646209,Kaitlynn,0,50,9,16958.07618,1,41.3851418117 ,2.1743568917 ,4,3
34607063912,Celesta,0,44,32,52400.85734,9,41.3851434562 ,2.1743821294 ,2,1
34641540484,Dominique,1,30,1,37327.73343,9,41.3851432839 ,2.1743643079 ,2,4
34617814810,Casi,0,44,18,22732.60584,9,41.3851416137 ,2.1743669362 ,4,4
34661619992,Cherry,1,45,42,31578.8629,2,41.3851407852 ,2.1743712443 ,1,4
34697073417,Leta,0,36,31,6200.527377,2,41.3851403751 ,2.1743838900 ,1,2
34617580271,Claudie,1,45,9,39680.68718,4,41.3851426221 ,2.1743784188 ,1,1
34664095600,Elizabet,0,46,29,48907.03344,8,41.3851420552 ,2.1743746610 ,4,4
34657514113,Jaquith,0,49,48,26302.7136,8,41.3851407290 ,2.1744001791 ,4,4
34648967613,Alexis,0,18,16,18771.33577,1,41.3851426604 ,2.1743825257 ,2,1
34689616294,Clemmie,1,28,34,40281.97686,8,41.3851405170 ,2.1743864088 ,1,2
34670541275,Miquela,0,54,24,39948.32873,4,41.3851430380 ,2.1743545008 ,1,4
34643359834,Lynett,1,37,29,33940.00209,4,41.3851417731 ,2.1743722753 ,1,2
34669961141,Jemmie,0,49,24,26777.89048,1,41.3851428209 ,2.1743745053 ,4,4
34654238263,Teresina,1,61,28,30413.01575,7,41.3851417544 ,2.1743781153 ,2,3
34697288788,Essie,1,47,24,42854.8919,5,41.3851409771 ,2.1743810085 ,2,1
34695389496,Pennie,1,39,8,12467.03682,3,41.3851425657 ,2.1743609569 ,2,4
34671085214,Sheeree,0,58,11,28669.16197,10,41.3851423958 ,2.1743562448 ,1,2
34691527268,Lilith,1,36,3,46780.90768,8,41.3851409771 ,2.1743780516 ,3,2
34608455417,Licha,1,51,29,32522.89566,8,41.3851420941 ,2.1744001620 ,1,1
34663768889,Clarissa,0,28,21,3141.896695,2,41.3851418141 ,2.1743674169 ,4,1
34699132192,Dari,1,46,32,26257.72772,3,41.3851429794 ,2.1743981589 ,1,1
34647615033,Devina,0,30,2,30879.57516,4,41.3851426451 ,2.1743796696 ,1,1
34663269815,Ariel,0,23,25,26836.41646,4,41.3851408625 ,2.1743686701 ,4,4
34634526417,Elysee,0,47,6,12281.8637,2,41.3851436286 ,2.1743907775 ,3,2
34622539862,Ophelie,1,39,28,41668.41059,4,41.3851424403 ,2.1743680586 ,1,3
34632369467,Reeva,0,39,44,53024.7707,9,41.3851409777 ,2.1743743503 ,4,2
34697963036,Corly,0,45,25,16545.84771,3,41.3851413447 ,2.1743879479 ,3,2
34606013916,Gilbertina,0,48,47,26392.59442,7,41.3851426618 ,2.1743696763 ,4,1
34616700141,Jenine,1,49,26,27024.80692,5,41.3851436467 ,2.1743718001 ,1,2
34681758091,Brunhilda,1,44,2,9426.141287,6,41.3851421643 ,2.1743870866 ,4,2
34671626486,Gabriela,1,47,35,32830.90741,6,41.3851413411 ,2.1743792465 ,4,4
34628987540,Imogene,0,49,23,28528.09935,7,41.3851403592 ,2.1743913668 ,1,4
34611152360,Fionna,1,32,5,41885.41602,3,41.3851416146 ,2.1743769376 ,4,4
34639748366,Halie,0,48,16,19445.11218,5,41.3851416547 ,2.1743899564 ,2,2
34600223747,Dory,0,46,9,23649.35376,5,41.3851405973 ,2.1743772629 ,4,3
34691029457,Shandie,0,58,43,0,2,41.3851437069 ,2.1743762565 ,4,1
34615974849,Goldia,1,33,26,31881.26989,3,41.3851422440 ,2.1743686852 ,2,3
34627137524,Shel,0,40,20,28502.81539,7,41.3851418617 ,2.1743932104 ,1,4
34699109583,Danit,1,45,29,28194.26932,7,41.3851434103 ,2.1743803607 ,4,3
34607449311,Madonna,1,52,24,19179.69889,2,41.3851403904 ,2.1743664838 ,1,2
34668560960,Hettie,0,34,27,36405.23296,9,41.3851413044 ,2.1743744655 ,3,1
34603619396,Zenia,1,66,41,13383.71653,5,41.3851424225 ,2.1743824740 ,3,2
34694052669,Kirbee,0,36,15,27998.39826,6,41.3851412195 ,2.1743976127 ,1,1
34625947886,Britney,1,26,11,6289.112161,3,41.3851416929 ,2.1743680338 ,4,3
34638476377,Valencia,0,62,14,26355.41882,2,41.3851417099 ,2.1743688681 ,3,1
34607886154,Gavra,1,32,15,27693.91081,4,41.3851433244 ,2.1743687600 ,3,4
34674065912,Fredericka,1,32,22,42248.21346,6,41.3851418316 ,2.1743834074 ,3,3
34611067177,Jerry,0,34,22,47376.99051,5,41.3851415501 ,2.1743688803 ,4,1
34666204624,Cordi,1,45,42,31802.87144,3,41.3851409909 ,2.1743808663 ,1,1
34607595828,Sheri,1,40,8,41166.16487,2,41.3851438507 ,2.1743636458 ,3,1
34601871013,Marlane,0,37,44,20639.2901,3,41.3851404828 ,2.1743752473 ,1,1
34688037552,Donny,1,46,50,41217.66501,7,41.3851410741 ,2.1743843693 ,4,1
34639839245,Cathie,1,44,4,35595.71446,2,41.3851429741 ,2.1743833690 ,1,3
34638074098,Jilleen,0,34,11,35174.00451,5,41.3851402215 ,2.1743739223 ,4,4
34694876791,Kara,1,50,11,35283.7123,3,41.3851427267 ,2.1743686843 ,1,2
34671043029,Erna,0,47,21,38324.81248,5,41.3851410798 ,2.1743815988 ,1,3
34643632648,Dolorita,1,30,25,36890.06185,1,41.3851406396 ,2.1743680537 ,1,1
34609506185,Kakalina,1,35,18,33500.73889,4,41.3851420560 ,2.1743753597 ,2,3
34627550936,Renae,0,56,31,19335.90461,4,41.3851435265 ,2.1743714588 ,2,1
34683298534,Sean,1,40,14,26201.04347,8,41.3851428366 ,2.1743869899 ,3,3
34689563587,Krystalle,1,36,39,35934.27386,7,41.3851415139 ,2.1743741489 ,4,2
34662573606,June,1,35,11,18902.21206,2,41.3851423697 ,2.1743640326 ,3,2
34694059418,Briana,1,26,31,49032.54371,7,41.3851425905 ,2.1743751800 ,1,1
34605484134,Romona,1,57,27,26247.63233,6,41.3851426770 ,2.1743795912 ,2,1
34666029980,Carina,0,27,16,19808.43258,4,41.3851424388 ,2.1743607085 ,4,3
34684537493,Phaidra,1,39,9,32563.70924,1,41.3851419505 ,2.1743396053 ,2,2
34694013115,Nixie,0,39,6,26727.8228,6,41.3851418183 ,2.1743837937 ,1,3
34609807103,Piper,1,56,20,43573.71104,4,41.3851423460 ,2.1743654587 ,3,4
